ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
689,Mara,8/5/2019,10,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
690,Mara,11/5/2019,10,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
691,Mara,10/8/2019,12,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
692,Mara,9/24/2019,12,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
693,Mara,9/10/2019,11,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
694,Mara,9/4/2019,13,Butiam,christian,violence,came herself,reconciliation with parents,Counselling,Heathy,1
695,Mara,10/22/2019,15,Butiam,muslim,violence,came herself,reconciliation with parents,Other,Heathy,1
696,Mara,11/6/2019,10,Musoma,christian,violence,came herself,short term protection,Other,Heathy,1
697,Mara,10/15/2019,16,Tarime,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
698,Mara,9/3/2019,9,Butiam,christian,violence,came herself,reconciliation with parents,Shoes,Heathy,1
699,Mara,11/5/2019,10,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
700,Mara,10/31/2019,12,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
701,Mara,11/6/2019,12,Butiam,christian,violence,came herself,reconciliation with parents,Counselling,Heathy,1
702,Mara,10/15/2019,10,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
703,Mara,10/31/2019,9,Butiam,christian,violence,came herself,reconciliation with parents,Counselling,Heathy,1
704,Mara,11/6/2019,9,Butiam,christian,violence,came herself,reconciliation with parents,Shoes,Heathy,1
705,Mara,11/5/2019,11,Butiam,christian,violence,volunteer,short term protection,Counselling,Heathy,0
706,Mara,10/9/2019,9,Butiam,christian,violence,religious leader,long term protection,Counselling,UTI,0
707,Mara,11/21/2019,12,Butiam,christian,violence,came herself,reconciliation with parents,Shoes,Heathy,1
708,Mara,11/5/2019,12,Butiam,christian,violence,came herself,short term protection,Other,Heathy,0
709,Mara,12/3/2019,13,Butiam,christian,violence,religious leader,short term protection,Counselling,Heathy,0
710,Mara,11/5/2019,13,Butiam,christian,violence,religious leader,short term protection,Underwear,Heathy,1
711,Mara,11/5/2019,13,Butiam,christian,violence,religious leader,short term protection,Counselling,Heathy,0
